system:index,AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,.geo
0000000000000000241b_0,352.0,37.035378,0.03825356573842931,25.718204026374092,72.27797512380161,22.221228,15.19660398644418,Point_9243,36.10844460063515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.2739561838361,25.714275007921305]}"
0000000000000000241c_0,630.0,31.507668,0.03948625234692541,22.225096556286296,96.60708723048494,18.9046,60.58421598016906,Point_9244,26.58938128683303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.60931723063395,22.22881170553756]}"
0000000000000000241d_0,326.0,20.85669,0.02663628938047013,31.680592428822372,68.05700422974977,12.514014,30.426837420490934,Point_9245,18.678207784228903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.06085750131555,31.67908849447493]}"
0000000000000000241f_0,173.0,4.463229,0.02311419712085393,29.68739896729403,90.92290356364957,2.6779375,58.86426911422398,Point_9247,3.763066996468467,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.92298148215737,29.68482856372959]}"
00000000000000002420_0,576.0,42.94294,0.04435612588867154,19.91674225670524,78.51751660280021,25.765764,32.192970306691,Point_9248,33.707742018169824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51724740846679,19.92014142535039]}"
00000000000000002424_0,308.0,3.911289,0.016513492117683798,34.21358724034992,88.50319543779095,2.3467734,61.635677840681865,Point_9252,-4.647696214252051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.50651336787585,34.21233759569198]}"
00000000000000002426_0,320.0,4.2902765,0.019050020446649184,34.488266160771175,75.45378085202721,2.574166,75.20492692047293,Point_9254,-5.92570117844474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.45399228961921,34.49081533376903]}"
00000000000000002427_0,665.0,29.445051,0.033607326289289585,11.960681929125514,76.24631006149008,17.66703,78.2029383718951,Point_9255,25.3738627592723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.24450973964439,11.961068008051429]}"
00000000000000002429_0,829.0,46.89006,0.04628429916641692,22.515848419859097,95.66437320571521,28.134037,47.68064979660106,Point_9257,32.27149662971499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.66608618230845,22.516272596455806]}"
0000000000000000242a_0,489.0,29.564882,0.040113010188984374,22.33977418816084,72.5294146981079,17.73893,32.071593127214626,Point_9258,34.5298923545414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.52548446338957,22.336609539631905]}"
