AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature
269.0,8.090724,0.0182290563710331,34.85721852506745,94.84988447707616,4.8544345,55.69812851075056,Point_81,-1.230951558219033
764.0,23.634117,0.041896851683539,16.646852626633518,80.32106149417686,14.18047,66.5709020853342,Point_82,31.60268016921151
1124.0,79.591095,0.0550312431886981,27.00323734665012,85.50816723548199,47.754658,44.8145769357611,Point_84,29.55740225580007
382.0,16.960314,0.0260132533379249,33.023615334860295,68.62491767246256,10.176188,44.45780503149798,Point_85,15.770679436789637
306.0,46.632347,0.0443415454821895,26.979851136700784,76.97084188012741,27.979408,21.68211459306733,Point_87,33.12021421326534
417.0,33.56242,0.0405194948180574,22.281851762475863,74.74887121988931,20.137451,24.80273728072934,Point_88,34.06906675232784
512.0,42.750862,0.0423683698021787,21.258368428633283,76.05417861864213,25.650518,27.794580602169063,Point_89,34.01149703661605
287.0,3.7394989,0.0175161002832487,33.99635457685466,89.93557791864139,2.2436993,65.27803585688669,Point_91,-5.178115457958597
731.0,56.144047,0.0353279024598318,27.097492023728197,87.90224572075748,33.686428,68.00789552752695,Point_92,15.212156894471946
993.0,40.73936,0.0467661223231323,23.761618756047405,91.7672119499212,24.443617,76.25769917397798,Point_93,28.12166888448928
328.0,22.775541,0.0289166712472258,34.592052247029486,69.25160061998074,13.665325,53.2881512253503,Point_95,16.1309428373973
444.0,42.014057,0.045572077355656,24.629775981959156,79.0802197402819,25.208435,21.68477359784032,Point_96,33.510550991694174
612.0,23.515285,0.0410540722274879,19.063677675128247,96.04737544341376,14.109171,55.37855903487531,Point_97,30.624391730626428
187.0,3.7696154,0.0200016385963169,30.644833814950644,96.7192783852487,2.2617693,69.54097663499881,Point_98,-2.0774752669864256
659.0,30.63724,0.0355265277278788,12.431196358207943,78.81024909513746,18.382343,68.00480933040929,Point_99,27.99367477099105
400.0,28.948412,0.0374421286116369,32.91610073300599,71.45073576318799,17.369047,26.4202590674043,Point_100,32.26189715597366
360.0,21.066261,0.0425683144658985,18.88839084646684,94.93747065175214,12.639757,56.56040999244494,Point_101,30.66421038839553
545.0,44.591232,0.0416867618872102,29.548459792513786,72.00381782679794,26.75474,20.683029645677436,Point_102,33.52566058370803
812.0,46.60241,0.0504443199401524,29.5228301829738,80.3700914510575,27.961445,42.45995912900812,Point_103,22.23808666335213
437.0,24.671795,0.0367743370138727,22.388236078259897,70.8809175339104,14.803077,39.86142856417491,Point_104,32.07306116422018
832.0,49.885036,0.0472472084051558,25.20760588957948,91.03869133616584,29.931023,77.084140191807,Point_105,26.46799253357784
816.0,23.755505,0.0426285707552884,16.815605090476147,81.12635571129583,14.253303,72.61392155425519,Point_107,30.681632534662924
430.0,65.02688,0.0460146955867054,30.980432544373496,74.88438252492666,39.01613,25.11946917040464,Point_109,32.123411777284446
159.0,3.4362943,0.0165081238043222,32.73685110339342,92.00232351386067,2.0617766,68.80281962094192,Point_111,-5.5740708616044685
278.0,11.026496,0.0171504646539111,35.61640256644044,92.44080831687324,6.6158977,51.597308874824265,Point_112,-1.4418856673770506
668.0,40.40536,0.0389482474421557,16.17978195047896,75.52616346485554,24.243217,41.98530340664141,Point_114,31.00698382589553
436.0,39.237553,0.0468962458516566,19.77376273702913,83.57210199446811,23.542532,56.01289523531898,Point_116,29.750198751025778
695.0,24.163475,0.04140294125187,17.112230060675863,80.70497836392738,14.498085,67.15267780726832,Point_119,31.123917012744528
377.0,10.374268,0.016799694082629,36.67552159982598,91.1899948346332,6.2245603,52.53930451490495,Point_123,-3.987329732047158
552.0,31.153532,0.0427486378249458,22.506637505322985,92.18988172432636,18.69212,69.82066331044736,Point_124,29.53524649408132
566.0,38.034084,0.0416578909338009,18.116201982979035,78.9606759468759,22.82045,46.88903510524154,Point_125,31.275989495383385
535.0,27.780151,0.0395642399586768,20.828811143626496,96.45324930132864,16.66809,59.155812688898514,Point_126,27.36577221022713
714.0,50.91211,0.0427897853956963,21.447805044634627,79.41603376308795,30.547266,33.200393887669286,Point_127,32.79230283631222
116.0,4.1136208,0.0190672363886724,30.795131569640954,91.24949211861448,2.4681723,65.60979718847383,Point_129,-2.273923699061072
1200.0,63.57991,0.0488687108145239,24.38788385999832,90.58700152687354,38.147945,71.10735627061456,Point_131,29.03298141161605
659.0,37.363113,0.0375099262450402,12.36155305688507,78.20007598120007,22.417868,59.008069937738526,Point_132,29.08716706699795
400.0,36.01719,0.0376448826532023,32.307826827783714,71.15814097623108,21.610313,27.95300031468721,Point_133,31.670259650548303
